bill_ID,value,kategori
506,1,jarang
507,10,sering
508,4,jarang
509,4,jarang
510,5,jarang
511,1,jarang
512,1,jarang
513,4,jarang
514,2,jarang
515,3,jarang
516,1,jarang
517,6,sering
518,5,jarang
519,9,sering
520,6,sering
521,5,jarang
522,2,jarang
523,6,sering
524,2,jarang
525,1,jarang
526,1,jarang
527,2,jarang
528,1,jarang
529,2,jarang
530,14,sangat sering
531,3,jarang
532,2,jarang
533,3,jarang
534,4,jarang
535,3,jarang
536,2,jarang
537,2,jarang
538,3,jarang
539,7,sering
540,1,jarang
541,1,jarang
542,3,jarang
543,8,sering
544,11,sangat sering
545,3,jarang
546,2,jarang
547,3,jarang
548,4,jarang
549,7,sering
550,2,jarang
551,7,sering
552,4,jarang
553,9,sering
554,5,jarang
555,5,jarang
556,6,sering
557,2,jarang
558,1,jarang
559,2,jarang
560,4,jarang
561,6,sering
562,4,jarang
563,4,jarang
564,4,jarang
565,7,sering
566,6,sering
567,6,sering
568,5,jarang
569,1,jarang
570,4,jarang
571,7,sering
572,3,jarang
573,3,jarang
574,3,jarang
575,3,jarang
576,2,jarang
577,4,jarang
578,2,jarang
579,8,sering
580,4,jarang
581,10,sering
582,8,sering
583,2,jarang
584,11,sangat sering
585,2,jarang
586,1,jarang
587,1,jarang
588,1,jarang
589,2,jarang
590,1,jarang
591,1,jarang
592,11,sangat sering
593,4,jarang
594,7,sering
595,4,jarang
596,1,jarang
597,5,jarang
598,1,jarang
599,2,jarang
600,1,jarang
601,1,jarang
602,3,jarang
603,1,jarang
604,1,jarang
605,12,sangat sering
606,1,jarang
607,8,sering
608,2,jarang
609,2,jarang
610,5,jarang
611,8,sering
612,6,sering
613,9,sering
614,3,jarang
615,1,jarang
616,13,sangat sering
617,1,jarang
618,1,jarang
619,4,jarang
620,2,jarang
621,11,sangat sering
622,9,sering
623,8,sering
624,2,jarang
625,8,sering
626,6,sering
627,6,sering
628,1,jarang
629,5,jarang
630,6,sering
631,5,jarang
632,4,jarang
633,6,sering
634,2,jarang
635,9,sering
636,2,jarang
637,3,jarang
638,2,jarang
639,3,jarang
640,9,sering
641,9,sering
642,1,jarang
643,1,jarang
644,2,jarang
645,24,sangat sering
646,5,jarang
647,12,sangat sering
648,3,jarang
649,1,jarang
650,1,jarang
651,6,sering
652,2,jarang
653,1,jarang
654,9,sering
655,7,sering
656,1,jarang
657,3,jarang
658,2,jarang
659,1,jarang
660,5,jarang
661,2,jarang
662,2,jarang
663,2,jarang
664,3,jarang
665,2,jarang
666,2,jarang
667,4,jarang
668,3,jarang
669,4,jarang
670,6,sering
671,1,jarang
672,2,jarang
673,5,jarang
674,5,jarang
675,4,jarang
676,2,jarang
677,4,jarang
678,7,sering
679,6,sering
680,2,jarang
681,2,jarang
682,2,jarang
683,4,jarang
684,7,sering
685,1,jarang
686,2,jarang
687,2,jarang
688,1,jarang
689,4,jarang
690,3,jarang
691,1,jarang
692,1,jarang
693,8,sering
694,1,jarang
695,1,jarang
696,2,jarang
697,1,jarang
698,1,jarang
699,1,jarang
700,1,jarang
701,2,jarang
702,2,jarang
703,3,jarang
704,2,jarang
705,1,jarang
706,1,jarang
707,1,jarang
708,8,sering
709,1,jarang
710,2,jarang
711,1,jarang
712,2,jarang
713,3,jarang
714,1,jarang
715,2,jarang
716,2,jarang
717,5,jarang
718,1,jarang
719,1,jarang
720,3,jarang
721,9,sering
722,3,jarang
723,2,jarang
724,1,jarang
725,11,sangat sering
726,18,sangat sering
727,3,jarang
728,2,jarang
729,1,jarang
730,2,jarang
731,6,sering
732,4,jarang
733,1,jarang
734,3,jarang
735,1,jarang
736,1,jarang
737,2,jarang
738,3,jarang
739,1,jarang
740,1,jarang
741,1,jarang
742,3,jarang
743,1,jarang
744,2,jarang
745,1,jarang
746,1,jarang
747,3,jarang
748,1,jarang
749,2,jarang
750,1,jarang
751,1,jarang
752,1,jarang
753,2,jarang
754,1,jarang
755,1,jarang
756,2,jarang
757,4,jarang
758,1,jarang
759,2,jarang
760,1,jarang
761,4,jarang
762,1,jarang
763,2,jarang
764,1,jarang
765,2,jarang
766,1,jarang
767,2,jarang
768,2,jarang
769,2,jarang
770,1,jarang
771,3,jarang
772,1,jarang
773,1,jarang
774,1,jarang
775,1,jarang
776,4,jarang
777,2,jarang
778,3,jarang
779,1,jarang
780,4,jarang
781,10,sering
782,1,jarang
783,1,jarang
784,1,jarang
785,2,jarang
786,3,jarang
787,2,jarang
788,3,jarang
789,3,jarang
790,3,jarang
791,4,jarang
792,5,jarang
793,1,jarang
794,10,sering
795,1,jarang
796,3,jarang
797,4,jarang
798,6,sering
799,3,jarang
800,2,jarang
801,1,jarang
802,4,jarang
803,5,jarang
804,5,jarang
805,1,jarang
806,1,jarang
807,3,jarang
808,3,jarang
809,3,jarang
810,2,jarang
811,1,jarang
812,5,jarang
813,3,jarang
814,5,jarang
815,1,jarang
816,3,jarang
817,3,jarang
818,1,jarang
819,3,jarang
820,1,jarang
821,5,jarang
822,1,jarang
823,6,sering
824,5,jarang
825,1,jarang
826,3,jarang
827,2,jarang
828,3,jarang
829,1,jarang
830,2,jarang
831,3,jarang
832,3,jarang
833,1,jarang
834,2,jarang
835,2,jarang
836,3,jarang
837,3,jarang
838,1,jarang
839,2,jarang
840,1,jarang
841,1,jarang
842,2,jarang
843,2,jarang
844,2,jarang
845,2,jarang
846,1,jarang
847,4,jarang
848,2,jarang
849,2,jarang
850,3,jarang
851,2,jarang
852,1,jarang
853,3,jarang
854,3,jarang
855,4,jarang
856,1,jarang
857,1,jarang
858,1,jarang
859,8,sering
860,4,jarang
861,1,jarang
862,6,sering
863,1,jarang
864,6,sering
865,3,jarang
866,2,jarang
867,2,jarang
868,6,sering
869,1,jarang
870,6,sering
871,4,jarang
872,7,sering
873,2,jarang
874,1,jarang
875,2,jarang
876,1,jarang
877,13,sangat sering
878,4,jarang
879,2,jarang
880,5,jarang
881,12,sangat sering
882,2,jarang
883,1,jarang
884,3,jarang
885,2,jarang
886,1,jarang
887,5,jarang
888,3,jarang
889,2,jarang
890,3,jarang
891,1,jarang
892,3,jarang
893,2,jarang
894,1,jarang
895,5,jarang
896,3,jarang
897,2,jarang
898,1,jarang
899,1,jarang
900,1,jarang
901,4,jarang
902,11,sangat sering
903,2,jarang
904,1,jarang
905,1,jarang
906,2,jarang
907,6,sering
908,1,jarang
909,1,jarang
910,1,jarang
911,1,jarang
912,4,jarang
913,2,jarang
914,3,jarang
915,1,jarang
916,1,jarang
917,2,jarang
918,1,jarang
919,4,jarang
920,1,jarang
921,1,jarang
922,1,jarang
923,1,jarang
924,2,jarang
925,2,jarang
926,1,jarang
927,2,jarang
928,2,jarang
929,1,jarang
930,1,jarang
931,2,jarang
932,3,jarang
933,2,jarang
934,14,sangat sering
935,1,jarang
936,3,jarang
937,1,jarang
938,5,jarang
939,1,jarang
940,3,jarang
941,2,jarang
942,12,sangat sering
943,3,jarang
944,2,jarang
945,2,jarang
946,1,jarang
947,4,jarang
948,2,jarang
949,3,jarang
950,7,sering
951,4,jarang
952,3,jarang
953,3,jarang
954,1,jarang
955,2,jarang
956,1,jarang
957,2,jarang
